2023-01-30 10:57:21MMSD103T1 getStockInfo exception: 'NoneType' object has no attribute 'find'
2023-01-30 10:58:57MMSD4148 getStockInfo exception: 'NoneType' object has no attribute 'find'
2023-01-30 20:33:40MMSZ5239BT1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-30 22:45:40MMSZ5256ET1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-30 23:48:56MMSZ5272BT3 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 00:19:37MMSZ7V5ET1 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 00:59:44NRVBA1H100T3G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 02:56:17NRVHP8H200MFDT1G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 03:36:22NRVUD620CTT4G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 03:57:43SMMSZ4690T1G request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 06:41:54None request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 08:18:33None request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 20:51:01ACS709LLFTR-6BB-T request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-01-31 22:16:15ACS755SCB-130-PSF request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Read timed out. (read timeout=60)
2023-02-01 03:34:06AUIRFR5410 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR5410 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227122f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR5505 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR5505 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711ba0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR6215 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR6215 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711870>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR8401 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR8401 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR8403 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR8403 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227122f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR8405 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR8405 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711ba0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR9024N request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR9024N (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711870>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFR9024NTRL request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFR9024NTRL (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS3004 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS3004 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227122f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS3004-7P request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS3004-7P (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711ba0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS3006 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS3006 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711870>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS3006-7P request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS3006-7P (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227119f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS3107 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS3107 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1227122f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS3107-7P request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS3107-7P (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711ba0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2023-02-01 03:34:06AUIRFS3206 request get exception: HTTPSConnectionPool(host='www.findchips.com', port=443): Max retries exceeded with url: /search/AUIRFS3206 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122711870>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
